"","ticker","transaction","cost_share","number_shares","total_value","date","time"
"2","ALG","Buy","163.48","304","49,697",2025-12-01,"03:13 PM"
"3","SITM","Proposed Sale","291.00","2,000","582,000",2025-12-01,"03:13 PM"
"4","SITM","Proposed Sale","291.53","1,500","437,300",2025-12-01,"03:05 PM"
"5","MMD","Sale","14.92","1","11",2025-12-01,"03:03 PM"
"6","DLR","Proposed Sale","157.41","4,166","655,760",2025-12-01,"02:52 PM"
"7","UFPI","Sale","93.43","1,192","111,369",2025-12-01,"02:43 PM"
"8","FIX","Proposed Sale","958.87","4,370","4,190,262",2025-12-01,"02:39 PM"
"9","VLTO","Proposed Sale","101.73","1,000","101,735",2025-12-01,"02:39 PM"
"10","CORT","Proposed Sale","79.40","40,000","3,176,000",2025-12-01,"02:36 PM"
"11","ASND","Proposed Sale","209.54","218","45,680",2025-12-01,"02:30 PM"
"12","ROP","Proposed Sale","445.56","6,000","2,673,390",2025-12-01,"02:21 PM"
"13","DGICA","Proposed Sale","20.20","12,000","242,400",2025-12-01,"02:05 PM"
"14","FN","Proposed Sale","453.75","3,500","1,588,115",2025-12-01,"02:04 PM"
"15","CORT","Proposed Sale","79.40","20,000","1,588,000",2025-12-01,"02:00 PM"
"16","BOTJ","Buy","16.65","1,014","16,883",2025-12-01,"01:59 PM"
"17","BOTJ","Buy","17.59","100","1,759",2025-12-01,"01:59 PM"
"18","IR","Proposed Sale","80.63","1,477","119,086",2025-12-01,"01:59 PM"
"19","VIAV","Sale","18.14","1,657","30,058",2025-12-01,"01:58 PM"
"20","CORT","Proposed Sale","79.40","5,000","397,000",2025-12-01,"01:50 PM"
"21","NVTS","Sale","8.54","1,493,046","12,758,078",2025-12-01,"01:50 PM"
"22","VIAV","Option Exercise","0.00","202,452","0",2025-12-01,"01:40 PM"
"23","CNA","Sale","46.92","6,250","293,250",2025-12-01,"01:34 PM"
"24","YUM","Option Exercise","49.66","409","20,311",2025-12-01,"01:31 PM"
"25","YUM","Sale","153.17","276","42,275",2025-12-01,"01:31 PM"
"26","RCG","Buy","2.59","360","932",2025-12-01,"01:29 PM"
"27","RCG","Buy","2.59","774","2,005",2025-12-01,"01:29 PM"
"28","TSN","Option Exercise","50.00","109,202","5,460,100",2025-12-01,"01:25 PM"
"29","TSN","Sale","58.05","100,301","5,822,473",2025-12-01,"01:25 PM"
"30","TTMI","Proposed Sale","67.30","2,000","134,593",2025-12-01,"01:22 PM"
"31","DGICA","Proposed Sale","20.39","9,000","183,510",2025-12-01,"01:13 PM"
"32","OMCL","Proposed Sale","35.97","28,250","1,016,092",2025-12-01,"01:12 PM"
"33","FELE","Option Exercise","29.08","15,000","436,200",2025-12-01,"01:10 PM"
"34","FIBK","Sale","32.75","10,000","327,500",2025-12-01,"12:58 PM"
"35","BOOT","Proposed Sale","191.41","1,200","229,692",2025-12-01,"12:55 PM"
"36","BCRX","Proposed Sale","7.08","91,004","644,308",2025-12-01,"12:51 PM"
"37","CRS","Sale","321.25","3,900","1,252,860",2025-12-01,"12:45 PM"
"38","IRM","Proposed Sale","84.50","69,125","5,841,062",2025-12-01,"12:33 PM"
"39","IESC","Proposed Sale","406.25","10,000","4,062,457",2025-12-01,"12:33 PM"
"40","SCKT","Buy","1.28","7,286","9,326",2025-12-01,"12:31 PM"
"41","SCKT","Buy","1.31","8,993","11,801",2025-12-01,"12:31 PM"
"42","ATEC","Proposed Sale","198.70","32,584","6,474,444",2025-12-01,"12:26 PM"
"43","JLL","Sale","331.21","5,000","1,656,059",2025-12-01,"12:26 PM"
"44","JLL","Sale","330.01","240","79,204",2025-12-01,"12:26 PM"
"45","ADI","Proposed Sale","265.83","5,914","1,572,134",2025-12-01,"12:25 PM"
"46","LPLA","Proposed Sale","352.48","80","28,198",2025-12-01,"12:21 PM"
"47","RSI","Proposed Sale","18.18","70,000","1,272,778",2025-12-01,"12:20 PM"
"48","CBLL","Proposed Sale","16.87","25,000","421,750",2025-12-01,"12:20 PM"
"49","BXP","Proposed Sale","72.14","36,314","2,619,873",2025-12-01,"12:14 PM"
"50","KEYS","Proposed Sale","19.71","4,827","95,119",2025-12-01,"12:12 PM"
"51","RMD","Proposed Sale","244.16","1,000","244,160",2025-12-01,"12:11 PM"
"52","NXT","Proposed Sale","89.33","4,500","401,985",2025-12-01,"12:10 PM"
"53","CRCL","Proposed Sale","77.49","100,000","7,749,000",2025-12-01,"12:08 PM"
"54","RMD","Proposed Sale","244.16","50","12,208",2025-12-01,"12:08 PM"
"55","GNRC","Proposed Sale","148.27","5,000","741,350",2025-12-01,"12:08 PM"
"56","BV","Proposed Sale","12.62","35,000","441,548",2025-12-01,"12:07 PM"
"57","SCKT","Buy","1.33","5,000","6,674",2025-12-01,"12:04 PM"
"58","SCKT","Buy","1.33","5,000","6,664",2025-12-01,"12:04 PM"
"59","PBBK","Option Exercise","12.28","4,500","55,260",2025-12-01,"12:03 PM"
"60","COSM","Buy","0.64","76,360","49,000",2025-12-01,"12:02 PM"
"61","ADTN","Buy","8.02","6,150","49,323",2025-12-01,"12:00 PM"
"62","ADTN","Buy","7.81","12,859","100,429",2025-12-01,"12:00 PM"
"63","MTG","Proposed Sale","28.24","30,000","847,200",2025-12-01,"11:57 AM"
"64","KEYS","Proposed Sale","196.42","12,528","2,460,750",2025-12-01,"11:56 AM"
"65","WEYS","Sale","30.09","1,059","31,865",2025-12-01,"11:55 AM"
"66","FOA","Proposed Sale","23.49","750","17,618",2025-12-01,"11:55 AM"
"67","SNOW","Proposed Sale","249.53","10,000","2,495,300",2025-12-01,"11:54 AM"
"68","TPL","Buy","867.31","1","867",2025-12-01,"11:51 AM"
"69","L","Proposed Sale","107.93","1,442","155,642",2025-12-01,"11:51 AM"
"70","TRU","Proposed Sale","84.04","1,000","84,040",2025-12-01,"11:47 AM"
"71","HURN","Proposed Sale","164.20","800","131,360",2025-12-01,"11:43 AM"
"72","HMN","Proposed Sale","45.59","5,000","227,950",2025-12-01,"11:40 AM"
"73","L","Proposed Sale","108.12","1,442","155,916",2025-12-01,"11:34 AM"
"74","L","Proposed Sale","107.88","1,442","155,563",2025-12-01,"11:31 AM"
"75","NOTV","Proposed Sale","0.89","2,000","1,771",2025-12-01,"11:29 AM"
"76","PBH","Proposed Sale","60.00","281","16,860",2025-12-01,"11:24 AM"
"77","JKHY","Proposed Sale","175.00","20,000","3,500,000",2025-12-01,"11:19 AM"
"78","ENTG","Proposed Sale","75.96","57,570","4,373,017",2025-12-01,"11:13 AM"
"79","TRST","Buy","42.69","200","8,538",2025-12-01,"11:13 AM"
"80","HURN","Proposed Sale","164.20","400","65,680",2025-12-01,"11:12 AM"
"81","AMSF","Proposed Sale","40.71","1,850","75,313",2025-12-01,"11:10 AM"
"82","ENSG","Proposed Sale","184.27","700","128,989",2025-12-01,"11:01 AM"
"83","GSBC","Option Exercise","51.24","1,450","74,299",2025-12-01,"10:59 AM"
"84","GSBC","Sale","59.93","1,450","86,899",2025-12-01,"10:59 AM"
"85","DRS","Proposed Sale","33.74","3,840","129,562",2025-12-01,"10:49 AM"
"86","ARBE","Proposed Sale","1.47","820,513","1,206,154",2025-12-01,"10:46 AM"
"87","OTH","Buy","3.50","5,000","17,500",2025-12-01,"10:45 AM"
"88","OTH","Buy","3.50","5,000","17,500",2025-12-01,"10:45 AM"
"89","TMO","Proposed Sale","597.68","6,913","4,131,762",2025-12-01,"10:37 AM"
"90","L","Proposed Sale","108.10","1,444","156,094",2025-12-01,"10:32 AM"
"91","DRS","Proposed Sale","33.74","5,294","178,620",2025-12-01,"10:32 AM"
"92","PB","Sale","69.29","500","34,644",2025-12-01,"10:26 AM"
"93","PB","Sale","69.28","600","41,570",2025-12-01,"10:26 AM"
"94","CBLL","Proposed Sale","16.87","11,112","187,459",2025-12-01,"10:17 AM"
"95","KEYS","Proposed Sale","196.42","3,201","628,740",2025-12-01,"10:15 AM"
