"ticker","transaction","cost_share","number_shares","total_value","date","time"
"OSUR","Buy",2.37,"2,100","4,982","2025-12-02","04:16 PM"
"TEAM","Buy",148.03,"1,672","247,506","2025-12-02","04:15 PM"
"BMEA","Buy",1.1,"40,000","44,052","2025-12-02","04:15 PM"
"BMEA","Buy",1.05,"10,000","10,500","2025-12-02","04:15 PM"
"LFT","Buy",1.61,"10,000","16,055","2025-12-02","04:10 PM"
"FLD","Buy",3.12,"8,100","25,308","2025-12-02","04:10 PM"
"FRD","Buy",20.05,"500","10,025","2025-12-02","02:58 PM"
"FRD","Buy",20.27,"500","10,135","2025-12-02","02:58 PM"
"RCG","Buy",2.52,"360","907","2025-12-02","02:16 PM"
"RCG","Buy",2.52,"774","1,950","2025-12-02","02:16 PM"
"NWBI","Buy",12.1,"1,500","18,150","2025-12-02","12:53 PM"
"MYSZ","Buy",0.91,"2,600","2,353","2025-12-02","12:48 PM"
"CWBC","Buy",19.19,"159","3,051","2025-12-02","12:02 PM"
"CWBC","Buy",19.19,"84","1,612","2025-12-02","12:01 PM"
"CWBC","Buy",19.19,"75","1,439","2025-12-02","12:00 PM"
"CWBC","Buy",19.19,"316","6,063","2025-12-02","11:58 AM"
"TPL","Buy",866.88,"1","867","2025-12-02","11:11 AM"
"MXF","Buy",19.45,"10,902","212,044","2025-12-02","11:06 AM"
"DSM","Buy",5.9,"27,875","164,462","2025-12-02","10:56 AM"
"GE","Buy",1021.93,"9,785","10,000,000","2025-12-02","10:44 AM"
"ASA","Buy",53.46,"9,560","511,078","2025-12-02","10:18 AM"
"AP","Buy",2.58,"19,000","48,944","2025-12-02","09:28 AM"
"NRDY","Buy",1.32,"80,708","106,535","2025-12-02","08:31 AM"
"QTTB","Proposed Sale",3.46,"22,506","77,871","2025-12-02","04:29 PM"
"EVC","Proposed Sale",2.75,"21,259","58,474","2025-12-02","04:29 PM"
"CARS","Proposed Sale",11.98,"27,358","327,664","2025-12-02","04:28 PM"
"KVYO","Proposed Sale",28.16,"1,350,000","38,016,000","2025-12-02","04:28 PM"
"V","Proposed Sale",322.9,"7,756","2,504,436","2025-12-02","04:28 PM"
"EQIX","Proposed Sale",733.28,"2,894","2,122,112","2025-12-02","04:28 PM"
"INSP","Proposed Sale",126.34,"1,200","151,608","2025-12-02","04:27 PM"
"FROG","Proposed Sale",59.72,"12,500","746,500","2025-12-02","04:27 PM"
"RMD","Sale",244.16,"50","12,208","2025-12-02","04:27 PM"
"SNA","Proposed Sale",338.47,"22,607","7,651,791","2025-12-02","04:27 PM"
"AXON","Proposed Sale",533.21,"1,797","958,178","2025-12-02","04:27 PM"
"VIK","Proposed Sale",67.28,"94,276","6,342,889","2025-12-02","04:26 PM"
"NN","Proposed Sale",14.05,"69,853","981,435","2025-12-02","04:26 PM"
"GTM","Proposed Sale",10.12,"343","3,471","2025-12-02","04:26 PM"
"NICE","Proposed Sale",106.31,"1,806","191,996","2025-12-02","04:25 PM"
"TDOC","Proposed Sale",7.49,"5,720","42,833","2025-12-02","04:25 PM"
"CYTK","Proposed Sale",66.05,"8,750","577,938","2025-12-02","04:25 PM"
"VIK","Proposed Sale",67.28,"94,276","6,342,889","2025-12-02","04:25 PM"
"WDAY","Proposed Sale",213.35,"82,025","17,500,034","2025-12-02","04:25 PM"
"GTM","Proposed Sale",10.12,"72","729","2025-12-02","04:25 PM"
"CRM","Proposed Sale",234.7,"134,662","31,605,032","2025-12-02","04:25 PM"
"MNKD","Proposed Sale",5.43,"147,780","802,445","2025-12-02","04:24 PM"
"MNKD","Proposed Sale",5.43,"107,920","586,006","2025-12-02","04:23 PM"
"QLYS","Proposed Sale",143.16,"20,908","2,993,189","2025-12-02","04:23 PM"
"POOL","Proposed Sale",245.57,"5,000","1,227,856","2025-12-02","04:23 PM"
"VIK","Proposed Sale",67.28,"211,894","14,256,228","2025-12-02","04:23 PM"
"V","Sale",331.45,"7,556","2,504,436","2025-12-02","04:23 PM"
"MDGL","Proposed Sale",579.45,"4,173","2,418,045","2025-12-02","04:23 PM"
"RMD","Sale",244.16,"1,000","244,160","2025-12-02","04:23 PM"
"WLFC","Proposed Sale",118.35,"6,533","773,181","2025-12-02","04:22 PM"
"STX","Proposed Sale",270.1,"750","202,575","2025-12-02","04:22 PM"
"COIN","Sale",273.28,"1,375","375,756","2025-12-02","04:22 PM"
"SERA","Proposed Sale",3.21,"2,000","6,420","2025-12-02","04:22 PM"
"TDOC","Proposed Sale",7.49,"3,897","29,182","2025-12-02","04:22 PM"
"INDI","Proposed Sale",3.48,"47,597","165,638","2025-12-02","04:22 PM"
"KLIC","Proposed Sale",45,"1,000","45,000","2025-12-02","04:22 PM"
"ACMR","Proposed Sale",33.2,"100,000","3,320,010","2025-12-02","04:21 PM"
"CHWY","Proposed Sale",33.73,"639","21,556","2025-12-02","04:20 PM"
"V","Sale",330.14,"23,743","7,838,626","2025-12-02","04:20 PM"
"PEBK","Proposed Sale",31.85,"300","9,554","2025-12-02","04:20 PM"
"OSCR","Proposed Sale",16.73,"28,737","480,770","2025-12-02","04:20 PM"
"APLD","Sale",26.98,"8,000","215,840","2025-12-02","04:20 PM"
"SPT","Proposed Sale",10.21,"3,550","36,240","2025-12-02","04:20 PM"
"BBNX","Sale",29.55,"1,406","41,543","2025-12-02","04:20 PM"
"BBNX","Sale",29.55,"1,406","41,552","2025-12-02","04:20 PM"
"DAY","Sale",69.05,"2,000","138,100","2025-12-02","04:19 PM"
"OSCR","Proposed Sale",16.73,"8,398","140,499","2025-12-02","04:18 PM"
"NRDS","Proposed Sale",16.04,"15,945","255,750","2025-12-02","04:18 PM"
"PLUG","Proposed Sale",2.15,"50,000","107,500","2025-12-02","04:17 PM"
"NXT","Sale",89.33,"4,500","401,985","2025-12-02","04:17 PM"
"OSCR","Proposed Sale",16.73,"2,123","35,518","2025-12-02","04:17 PM"
"FLS","Proposed Sale",70.48,"212,683","14,989,472","2025-12-02","04:16 PM"
"AMBA","Proposed Sale",71.59,"150,000","10,738,845","2025-12-02","04:16 PM"
"LMND","Proposed Sale",72.73,"198","14,401","2025-12-02","04:16 PM"
"ISRG","Sale",568.99,"125","71,124","2025-12-02","04:16 PM"
"MCO","Sale",486.09,"592","287,765","2025-12-02","04:15 PM"
"PGNY","Sale",26.87,"2,398","64,434","2025-12-02","04:15 PM"
"STT","Sale",118.55,"5,676","672,890","2025-12-02","04:15 PM"
"TDOC","Proposed Sale",7.49,"4,582","34,311","2025-12-02","04:15 PM"
"MNTN","Proposed Sale",13.39,"168,257","2,253,702","2025-12-02","04:15 PM"
"TEAM","Sale",152.04,"7,665","1,165,399","2025-12-02","04:15 PM"
"OSCR","Proposed Sale",16.73,"22,195","371,322","2025-12-02","04:15 PM"
"PAHC","Sale",42.54,"3,520","149,740","2025-12-02","04:15 PM"
"PAHC","Sale",41.66,"3,520","146,636","2025-12-02","04:15 PM"
"CB","Proposed Sale",295.04,"4,357","1,285,497","2025-12-02","04:15 PM"
"TEAM","Sale",152.04,"7,665","1,165,399","2025-12-02","04:15 PM"
"BRKR","Sale",48.38,"5,028","243,230","2025-12-02","04:15 PM"
"FGL","Proposed Sale",0.38,"300,000","114,000","2025-12-02","04:15 PM"
"TDOC","Proposed Sale",7.49,"2,324","17,403","2025-12-02","04:14 PM"
"CLS","Sale",323.38,"3,160","1,021,881","2025-12-02","04:14 PM"
"LOCL","Proposed Sale",2.53,"1,011","2,556","2025-12-02","04:14 PM"
"RL","Proposed Sale",366,"1,882","688,812","2025-12-02","04:14 PM"
"CLS","Sale",323.38,"9,187","2,970,892","2025-12-02","04:14 PM"
"SLP","Sale",16.91,"866","14,644","2025-12-02","04:14 PM"
