"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"A","Sale",154.99,"3,000","464,956","Dec 01 04:29 PM","2025-12-01","16:29:00"
"CVNA","Proposed Sale",374.5,"12,750","4,774,875","Dec 01 04:29 PM","2025-12-01","16:29:00"
"OPTU","Proposed Sale",1.92,"184,898","355,318","Dec 01 04:29 PM","2025-12-01","16:29:00"
"VTEX","Proposed Sale",4.15,"4,808","19,968","Dec 01 04:29 PM","2025-12-01","16:29:00"
"CVNA","Proposed Sale",374.5,"10,000","3,745,000","Dec 01 04:29 PM","2025-12-01","16:29:00"
"FLOC","Proposed Sale",17.11,"131,327","2,247,005","Dec 01 04:28 PM","2025-12-01","16:28:00"
"MTB","Sale",191.7,"5,250","1,006,417","Dec 01 04:28 PM","2025-12-01","16:28:00"
"ALAB","Proposed Sale",157.57,"150,000","23,635,500","Dec 01 04:27 PM","2025-12-01","16:27:00"
"KTOS","Proposed Sale",76.1,"15,000","1,141,500","Dec 01 04:27 PM","2025-12-01","16:27:00"
"ORLY","Sale",101.31,"2,355","238,585","Dec 01 04:27 PM","2025-12-01","16:27:00"
"COIN","Proposed Sale",272.82,"10,000","2,728,200","Dec 01 04:27 PM","2025-12-01","16:27:00"
"FROG","Proposed Sale",60.98,"67,500","4,116,150","Dec 01 04:26 PM","2025-12-01","16:26:00"
"EBC","Proposed Sale",18.83,"9,000","169,470","Dec 01 04:26 PM","2025-12-01","16:26:00"
"AMWL","Proposed Sale",4.06,"3,574","14,501","Dec 01 04:26 PM","2025-12-01","16:26:00"
"A","Proposed Sale",149.81,"2,600","389,510","Dec 01 04:26 PM","2025-12-01","16:26:00"
"KTOS","Proposed Sale",76.1,"200,000","15,220,000","Dec 01 04:26 PM","2025-12-01","16:26:00"
"ORLY","Sale",101.25,"3,500","354,361","Dec 01 04:25 PM","2025-12-01","16:25:00"
"GTM","Proposed Sale",9.92,"428","4,246","Dec 01 04:25 PM","2025-12-01","16:25:00"
"LIF","Proposed Sale",73.3,"100,000","7,329,743","Dec 01 04:25 PM","2025-12-01","16:25:00"
"SBH","Proposed Sale",16.27,"15,000","244,050","Dec 01 04:25 PM","2025-12-01","16:25:00"
"RELY","Proposed Sale",13.55,"40,776","552,311","Dec 01 04:25 PM","2025-12-01","16:25:00"
"VTEX","Proposed Sale",4.15,"4,808","19,953","Dec 01 04:25 PM","2025-12-01","16:25:00"
"COIN","Sale",260,"976","253,761","Dec 01 04:25 PM","2025-12-01","16:25:00"
"RNG","Proposed Sale",28.24,"3,888","109,797","Dec 01 04:24 PM","2025-12-01","16:24:00"
"WLFC","Proposed Sale",120.54,"1,367","164,778","Dec 01 04:24 PM","2025-12-01","16:24:00"
"H","Sale",166,"4,300","713,800","Dec 01 04:24 PM","2025-12-01","16:24:00"
"VITL","Proposed Sale",32.7,"75,000","2,452,500","Dec 01 04:24 PM","2025-12-01","16:24:00"
"DASH","Proposed Sale",198.37,"2,159","428,281","Dec 01 04:24 PM","2025-12-01","16:24:00"
"VTEX","Proposed Sale",4.15,"67,926","281,927","Dec 01 04:23 PM","2025-12-01","16:23:00"
"UTHR","Proposed Sale",486,"105,000","51,030,000","Dec 01 04:23 PM","2025-12-01","16:23:00"
"LQDT","Proposed Sale",30.01,"2,451","73,554","Dec 01 04:23 PM","2025-12-01","16:23:00"
"CYTK","Proposed Sale",68.13,"28,064","1,912,000","Dec 01 04:21 PM","2025-12-01","16:21:00"
"JANX","Proposed Sale",34.09,"3,333","113,622","Dec 01 04:20 PM","2025-12-01","16:20:00"
"FOLD","Proposed Sale",9.93,"14,587","144,849","Dec 01 04:19 PM","2025-12-01","16:19:00"
"GMGI","Proposed Sale",0.82,"50,000","40,880","Dec 01 04:19 PM","2025-12-01","16:19:00"
"UTHR","Proposed Sale",486,"112,500","54,675,000","Dec 01 04:19 PM","2025-12-01","16:19:00"
"EGHT","Proposed Sale",1.94,"5,000","9,700","Dec 01 04:19 PM","2025-12-01","16:19:00"
"ACVA","Proposed Sale",7.85,"1,750","13,738","Dec 01 04:18 PM","2025-12-01","16:18:00"
"ACEL","Proposed Sale",10.22,"45,000","459,900","Dec 01 04:18 PM","2025-12-01","16:18:00"
"FROG","Proposed Sale",60.98,"40,000","2,439,200","Dec 01 04:18 PM","2025-12-01","16:18:00"
"BDX","Proposed Sale",194.02,"75","14,552","Dec 01 04:18 PM","2025-12-01","16:18:00"
"JBHT","Proposed Sale",173.96,"8,500","1,478,660","Dec 01 04:18 PM","2025-12-01","16:18:00"
"CPA","Proposed Sale",121.8,"17,459","2,126,506","Dec 01 04:17 PM","2025-12-01","16:17:00"
"RAPP","Sale",30.1,"5,000","150,486","Dec 01 04:17 PM","2025-12-01","16:17:00"
"TPR","Sale",110.19,"1,671","184,133","Dec 01 04:16 PM","2025-12-01","16:16:00"
"ACT","Sale",37.36,"878,006","32,804,148","Dec 01 04:16 PM","2025-12-01","16:16:00"
"WK","Sale",92.01,"808","74,344","Dec 01 04:16 PM","2025-12-01","16:16:00"
"CLS","Proposed Sale",344.41,"3,160","1,088,336","Dec 01 04:15 PM","2025-12-01","16:15:00"
"CLS","Proposed Sale",344.41,"9,186","3,163,750","Dec 01 04:15 PM","2025-12-01","16:15:00"
"COHR","Proposed Sale",162.71,"1,377","224,052","Dec 01 04:15 PM","2025-12-01","16:15:00"
"BE","Sale",97.8,"15,000","1,467,000","Dec 01 04:14 PM","2025-12-01","16:14:00"
"LOCL","Proposed Sale",2.52,"1,700","4,277","Dec 01 04:14 PM","2025-12-01","16:14:00"
"BRKR","Proposed Sale",48.38,"5,028","243,230","Dec 01 04:14 PM","2025-12-01","16:14:00"
"VIAV","Proposed Sale",17.62,"41,437","730,323","Dec 01 04:13 PM","2025-12-01","16:13:00"
"BOOM","Proposed Sale",5.9,"18,500","109,150","Dec 01 04:12 PM","2025-12-01","16:12:00"
"JBL","Proposed Sale",208.65,"20,000","4,173,000","Dec 01 04:12 PM","2025-12-01","16:12:00"
"NFLX","Proposed Sale",108.43,"375,470","40,712,434","Dec 01 04:11 PM","2025-12-01","16:11:00"
"DKNG","Proposed Sale",32.81,"52,777","1,731,613","Dec 01 04:11 PM","2025-12-01","16:11:00"
"VIAV","Proposed Sale",17.64,"44,399","783,007","Dec 01 04:11 PM","2025-12-01","16:11:00"
"FSLY","Sale",11.79,"14,944","176,190","Dec 01 04:11 PM","2025-12-01","16:11:00"
"LVS","Proposed Sale",70.37,"53,257","3,747,594","Dec 01 04:10 PM","2025-12-01","16:10:00"
"NTRA","Proposed Sale",238.07,"4,400","1,047,501","Dec 01 04:10 PM","2025-12-01","16:10:00"
"DASH","Sale",200,"1,000","200,000","Dec 01 04:10 PM","2025-12-01","16:10:00"
"IMCR","Sale",40.12,"69,404","2,784,488","Dec 01 04:10 PM","2025-12-01","16:10:00"
"IMCR","Sale",40.09,"5,521","221,337","Dec 01 04:10 PM","2025-12-01","16:10:00"
"VTEX","Proposed Sale",4.13,"32,414","133,721","Dec 01 04:09 PM","2025-12-01","16:09:00"
"XMTR","Proposed Sale",57.55,"598","34,414","Dec 01 04:09 PM","2025-12-01","16:09:00"
"EYPT","Sale",14.95,"200","2,990","Dec 01 04:09 PM","2025-12-01","16:09:00"
"EYPT","Sale",14.95,"500","7,475","Dec 01 04:09 PM","2025-12-01","16:09:00"
"CHYM","Sale",20.05,"50,000","1,002,370","Dec 01 04:09 PM","2025-12-01","16:09:00"
"CHYM","Sale",20.31,"34,589","702,603","Dec 01 04:09 PM","2025-12-01","16:09:00"
"TVTX","Proposed Sale",35.01,"20,000","700,200","Dec 01 04:09 PM","2025-12-01","16:09:00"
"RUN","Proposed Sale",19.57,"50,000","978,742","Dec 01 04:09 PM","2025-12-01","16:09:00"
"CSW","Proposed Sale",68.66,"580","39,825","Dec 01 04:09 PM","2025-12-01","16:09:00"
"DLB","Proposed Sale",67.56,"4,500","304,036","Dec 01 04:09 PM","2025-12-01","16:09:00"
"DV","Proposed Sale",10.46,"1,000","10,460","Dec 01 04:09 PM","2025-12-01","16:09:00"
"UGI","Sale",38.91,"11,300","439,699","Dec 01 04:09 PM","2025-12-01","16:09:00"
"CSTL","Sale",40.09,"4,258","170,703","Dec 01 04:09 PM","2025-12-01","16:09:00"
"LGND","Proposed Sale",199.88,"467","93,344","Dec 01 04:08 PM","2025-12-01","16:08:00"
"NTRA","Proposed Sale",238.15,"3,000","714,459","Dec 01 04:08 PM","2025-12-01","16:08:00"
"RS","Proposed Sale",283.73,"1,129","320,333","Dec 01 04:08 PM","2025-12-01","16:08:00"
"INSM","Proposed Sale",206.95,"8,895","1,840,841","Dec 01 04:08 PM","2025-12-01","16:08:00"
"BATRA","Proposed Sale",39.51,"20,000","790,200","Dec 01 04:08 PM","2025-12-01","16:08:00"
"BATRK","Proposed Sale",39.51,"20,000","790,200","Dec 01 04:08 PM","2025-12-01","16:08:00"
"DOCS","Proposed Sale",50.71,"2,000","101,420","Dec 01 04:08 PM","2025-12-01","16:08:00"
"RS","Proposed Sale",283.5,"5,809","1,646,846","Dec 01 04:08 PM","2025-12-01","16:08:00"
"CTSH","Sale",77.08,"7,000","539,578","Dec 01 04:08 PM","2025-12-01","16:08:00"
"NTAP","Proposed Sale",110.04,"33","3,631","Dec 01 04:07 PM","2025-12-01","16:07:00"
"NET","Proposed Sale",196.84,"3,000","590,509","Dec 01 04:07 PM","2025-12-01","16:07:00"
"COLM","Sale",54.62,"5,262","287,410","Dec 01 04:07 PM","2025-12-01","16:07:00"
"GWRE","Proposed Sale",213.44,"1,400","298,816","Dec 01 04:07 PM","2025-12-01","16:07:00"
"ARQT","Proposed Sale",30.21,"10,000","302,133","Dec 01 04:07 PM","2025-12-01","16:07:00"
"TDG","Sale",1360.73,"4,592","6,248,487","Dec 01 04:07 PM","2025-12-01","16:07:00"
"MIRM","Proposed Sale",74,"50,000","3,700,000","Dec 01 04:07 PM","2025-12-01","16:07:00"
"CVRX","Sale",10.03,"6,337","63,560","Dec 01 04:07 PM","2025-12-01","16:07:00"
"JNJ","Sale",10.03,"6,337","63,560","Dec 01 04:07 PM","2025-12-01","16:07:00"
"RS","Proposed Sale",283.56,"3,066","869,384","Dec 01 04:07 PM","2025-12-01","16:07:00"
"GDDY","Proposed Sale",127.03,"475","60,339","Dec 01 04:06 PM","2025-12-01","16:06:00"
"MANH","Sale",176.4,"1,600","282,235","Dec 01 04:06 PM","2025-12-01","16:06:00"
"ARQT","Proposed Sale",30.23,"1,657","50,091","Dec 01 04:06 PM","2025-12-01","16:06:00"
"ROKU","Proposed Sale",95.64,"731","69,913","Dec 01 04:06 PM","2025-12-01","16:06:00"
"ETSY","Proposed Sale",53.53,"21,666","1,159,780","Dec 01 04:06 PM","2025-12-01","16:06:00"
"WWD","Proposed Sale",299.39,"5,000","1,496,950","Dec 01 04:06 PM","2025-12-01","16:06:00"
"BURL","Proposed Sale",249.35,"419","104,478","Dec 01 04:06 PM","2025-12-01","16:06:00"
"META","Proposed Sale",639.03,"517","330,379","Dec 01 04:06 PM","2025-12-01","16:06:00"
"MPWR","Proposed Sale",908.21,"3,000","2,724,621","Dec 01 04:06 PM","2025-12-01","16:06:00"
"ISRG","Proposed Sale",568.99,"125","71,124","Dec 01 04:05 PM","2025-12-01","16:05:00"
"HIG","Sale",137.9,"6,731","928,205","Dec 01 04:05 PM","2025-12-01","16:05:00"
"JBGS","Sale",17.9,"4,485","80,286","Dec 01 04:05 PM","2025-12-01","16:05:00"
"MAX","Proposed Sale",12.6,"24,000","302,412","Dec 01 04:05 PM","2025-12-01","16:05:00"
"SITE","Sale",134.83,"1,915","258,199","Dec 01 04:05 PM","2025-12-01","16:05:00"
"WMS","Sale",155,"1,500","232,500","Dec 01 04:05 PM","2025-12-01","16:05:00"
"EBC","Sale",19.03,"322,771","6,142,332","Dec 01 04:05 PM","2025-12-01","16:05:00"
"INCY","Proposed Sale",102.96,"2,559","263,482","Dec 01 04:05 PM","2025-12-01","16:05:00"
"APO","Proposed Sale",131.41,"6,000","788,434","Dec 01 04:05 PM","2025-12-01","16:05:00"
"AMLX","Proposed Sale",14.35,"6,580","94,419","Dec 01 04:05 PM","2025-12-01","16:05:00"
"EGAN","Proposed Sale",10.07,"5,000","50,350","Dec 01 04:04 PM","2025-12-01","16:04:00"
"NDAQ","Proposed Sale",90.57,"4,633","419,611","Dec 01 04:04 PM","2025-12-01","16:04:00"
"LVS","Proposed Sale",69.96,"210,305","14,713,638","Dec 01 04:04 PM","2025-12-01","16:04:00"
