"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"A","Sale",154.99,3000,464956,"Dec 01 04:29 PM",2025-12-01,16:29:00
"CVNA","Proposed Sale",374.5,12750,4774875,"Dec 01 04:29 PM",2025-12-01,16:29:00
"OPTU","Proposed Sale",1.92,184898,355318,"Dec 01 04:29 PM",2025-12-01,16:29:00
"VTEX","Proposed Sale",4.15,4808,19968,"Dec 01 04:29 PM",2025-12-01,16:29:00
"CVNA","Proposed Sale",374.5,10000,3745000,"Dec 01 04:29 PM",2025-12-01,16:29:00
"FLOC","Proposed Sale",17.11,131327,2247005,"Dec 01 04:28 PM",2025-12-01,16:28:00
"MTB","Sale",191.7,5250,1006417,"Dec 01 04:28 PM",2025-12-01,16:28:00
"ALAB","Proposed Sale",157.57,150000,23635500,"Dec 01 04:27 PM",2025-12-01,16:27:00
"KTOS","Proposed Sale",76.1,15000,1141500,"Dec 01 04:27 PM",2025-12-01,16:27:00
"ORLY","Sale",101.31,2355,238585,"Dec 01 04:27 PM",2025-12-01,16:27:00
"COIN","Proposed Sale",272.82,10000,2728200,"Dec 01 04:27 PM",2025-12-01,16:27:00
"FROG","Proposed Sale",60.98,67500,4116150,"Dec 01 04:26 PM",2025-12-01,16:26:00
"EBC","Proposed Sale",18.83,9000,169470,"Dec 01 04:26 PM",2025-12-01,16:26:00
"AMWL","Proposed Sale",4.06,3574,14501,"Dec 01 04:26 PM",2025-12-01,16:26:00
"A","Proposed Sale",149.81,2600,389510,"Dec 01 04:26 PM",2025-12-01,16:26:00
"KTOS","Proposed Sale",76.1,2e+05,15220000,"Dec 01 04:26 PM",2025-12-01,16:26:00
"ORLY","Sale",101.25,3500,354361,"Dec 01 04:25 PM",2025-12-01,16:25:00
"GTM","Proposed Sale",9.92,428,4246,"Dec 01 04:25 PM",2025-12-01,16:25:00
"LIF","Proposed Sale",73.3,1e+05,7329743,"Dec 01 04:25 PM",2025-12-01,16:25:00
"SBH","Proposed Sale",16.27,15000,244050,"Dec 01 04:25 PM",2025-12-01,16:25:00
"RELY","Proposed Sale",13.55,40776,552311,"Dec 01 04:25 PM",2025-12-01,16:25:00
"VTEX","Proposed Sale",4.15,4808,19953,"Dec 01 04:25 PM",2025-12-01,16:25:00
"COIN","Sale",260,976,253761,"Dec 01 04:25 PM",2025-12-01,16:25:00
"RNG","Proposed Sale",28.24,3888,109797,"Dec 01 04:24 PM",2025-12-01,16:24:00
"WLFC","Proposed Sale",120.54,1367,164778,"Dec 01 04:24 PM",2025-12-01,16:24:00
"H","Sale",166,4300,713800,"Dec 01 04:24 PM",2025-12-01,16:24:00
"VITL","Proposed Sale",32.7,75000,2452500,"Dec 01 04:24 PM",2025-12-01,16:24:00
"DASH","Proposed Sale",198.37,2159,428281,"Dec 01 04:24 PM",2025-12-01,16:24:00
"VTEX","Proposed Sale",4.15,67926,281927,"Dec 01 04:23 PM",2025-12-01,16:23:00
"UTHR","Proposed Sale",486,105000,51030000,"Dec 01 04:23 PM",2025-12-01,16:23:00
"LQDT","Proposed Sale",30.01,2451,73554,"Dec 01 04:23 PM",2025-12-01,16:23:00
"CYTK","Proposed Sale",68.13,28064,1912000,"Dec 01 04:21 PM",2025-12-01,16:21:00
"JANX","Proposed Sale",34.09,3333,113622,"Dec 01 04:20 PM",2025-12-01,16:20:00
"FOLD","Proposed Sale",9.93,14587,144849,"Dec 01 04:19 PM",2025-12-01,16:19:00
"GMGI","Proposed Sale",0.82,50000,40880,"Dec 01 04:19 PM",2025-12-01,16:19:00
"UTHR","Proposed Sale",486,112500,54675000,"Dec 01 04:19 PM",2025-12-01,16:19:00
"EGHT","Proposed Sale",1.94,5000,9700,"Dec 01 04:19 PM",2025-12-01,16:19:00
"ACVA","Proposed Sale",7.85,1750,13738,"Dec 01 04:18 PM",2025-12-01,16:18:00
"ACEL","Proposed Sale",10.22,45000,459900,"Dec 01 04:18 PM",2025-12-01,16:18:00
"FROG","Proposed Sale",60.98,40000,2439200,"Dec 01 04:18 PM",2025-12-01,16:18:00
"BDX","Proposed Sale",194.02,75,14552,"Dec 01 04:18 PM",2025-12-01,16:18:00
"JBHT","Proposed Sale",173.96,8500,1478660,"Dec 01 04:18 PM",2025-12-01,16:18:00
"CPA","Proposed Sale",121.8,17459,2126506,"Dec 01 04:17 PM",2025-12-01,16:17:00
"RAPP","Sale",30.1,5000,150486,"Dec 01 04:17 PM",2025-12-01,16:17:00
"TPR","Sale",110.19,1671,184133,"Dec 01 04:16 PM",2025-12-01,16:16:00
"ACT","Sale",37.36,878006,32804148,"Dec 01 04:16 PM",2025-12-01,16:16:00
"WK","Sale",92.01,808,74344,"Dec 01 04:16 PM",2025-12-01,16:16:00
"CLS","Proposed Sale",344.41,3160,1088336,"Dec 01 04:15 PM",2025-12-01,16:15:00
"CLS","Proposed Sale",344.41,9186,3163750,"Dec 01 04:15 PM",2025-12-01,16:15:00
"COHR","Proposed Sale",162.71,1377,224052,"Dec 01 04:15 PM",2025-12-01,16:15:00
"BE","Sale",97.8,15000,1467000,"Dec 01 04:14 PM",2025-12-01,16:14:00
"LOCL","Proposed Sale",2.52,1700,4277,"Dec 01 04:14 PM",2025-12-01,16:14:00
"BRKR","Proposed Sale",48.38,5028,243230,"Dec 01 04:14 PM",2025-12-01,16:14:00
"VIAV","Proposed Sale",17.62,41437,730323,"Dec 01 04:13 PM",2025-12-01,16:13:00
"BOOM","Proposed Sale",5.9,18500,109150,"Dec 01 04:12 PM",2025-12-01,16:12:00
"JBL","Proposed Sale",208.65,20000,4173000,"Dec 01 04:12 PM",2025-12-01,16:12:00
"NFLX","Proposed Sale",108.43,375470,40712434,"Dec 01 04:11 PM",2025-12-01,16:11:00
"DKNG","Proposed Sale",32.81,52777,1731613,"Dec 01 04:11 PM",2025-12-01,16:11:00
"VIAV","Proposed Sale",17.64,44399,783007,"Dec 01 04:11 PM",2025-12-01,16:11:00
"FSLY","Sale",11.79,14944,176190,"Dec 01 04:11 PM",2025-12-01,16:11:00
"LVS","Proposed Sale",70.37,53257,3747594,"Dec 01 04:10 PM",2025-12-01,16:10:00
"NTRA","Proposed Sale",238.07,4400,1047501,"Dec 01 04:10 PM",2025-12-01,16:10:00
"DASH","Sale",200,1000,2e+05,"Dec 01 04:10 PM",2025-12-01,16:10:00
"IMCR","Sale",40.12,69404,2784488,"Dec 01 04:10 PM",2025-12-01,16:10:00
"IMCR","Sale",40.09,5521,221337,"Dec 01 04:10 PM",2025-12-01,16:10:00
"VTEX","Proposed Sale",4.13,32414,133721,"Dec 01 04:09 PM",2025-12-01,16:09:00
"XMTR","Proposed Sale",57.55,598,34414,"Dec 01 04:09 PM",2025-12-01,16:09:00
"EYPT","Sale",14.95,200,2990,"Dec 01 04:09 PM",2025-12-01,16:09:00
"EYPT","Sale",14.95,500,7475,"Dec 01 04:09 PM",2025-12-01,16:09:00
"CHYM","Sale",20.05,50000,1002370,"Dec 01 04:09 PM",2025-12-01,16:09:00
"CHYM","Sale",20.31,34589,702603,"Dec 01 04:09 PM",2025-12-01,16:09:00
"TVTX","Proposed Sale",35.01,20000,700200,"Dec 01 04:09 PM",2025-12-01,16:09:00
"RUN","Proposed Sale",19.57,50000,978742,"Dec 01 04:09 PM",2025-12-01,16:09:00
"CSW","Proposed Sale",68.66,580,39825,"Dec 01 04:09 PM",2025-12-01,16:09:00
"DLB","Proposed Sale",67.56,4500,304036,"Dec 01 04:09 PM",2025-12-01,16:09:00
"DV","Proposed Sale",10.46,1000,10460,"Dec 01 04:09 PM",2025-12-01,16:09:00
"UGI","Sale",38.91,11300,439699,"Dec 01 04:09 PM",2025-12-01,16:09:00
"CSTL","Sale",40.09,4258,170703,"Dec 01 04:09 PM",2025-12-01,16:09:00
"LGND","Proposed Sale",199.88,467,93344,"Dec 01 04:08 PM",2025-12-01,16:08:00
"NTRA","Proposed Sale",238.15,3000,714459,"Dec 01 04:08 PM",2025-12-01,16:08:00
"RS","Proposed Sale",283.73,1129,320333,"Dec 01 04:08 PM",2025-12-01,16:08:00
"INSM","Proposed Sale",206.95,8895,1840841,"Dec 01 04:08 PM",2025-12-01,16:08:00
"BATRA","Proposed Sale",39.51,20000,790200,"Dec 01 04:08 PM",2025-12-01,16:08:00
"BATRK","Proposed Sale",39.51,20000,790200,"Dec 01 04:08 PM",2025-12-01,16:08:00
"DOCS","Proposed Sale",50.71,2000,101420,"Dec 01 04:08 PM",2025-12-01,16:08:00
"RS","Proposed Sale",283.5,5809,1646846,"Dec 01 04:08 PM",2025-12-01,16:08:00
"CTSH","Sale",77.08,7000,539578,"Dec 01 04:08 PM",2025-12-01,16:08:00
"NTAP","Proposed Sale",110.04,33,3631,"Dec 01 04:07 PM",2025-12-01,16:07:00
"NET","Proposed Sale",196.84,3000,590509,"Dec 01 04:07 PM",2025-12-01,16:07:00
"COLM","Sale",54.62,5262,287410,"Dec 01 04:07 PM",2025-12-01,16:07:00
"GWRE","Proposed Sale",213.44,1400,298816,"Dec 01 04:07 PM",2025-12-01,16:07:00
"ARQT","Proposed Sale",30.21,10000,302133,"Dec 01 04:07 PM",2025-12-01,16:07:00
"TDG","Sale",1360.73,4592,6248487,"Dec 01 04:07 PM",2025-12-01,16:07:00
"MIRM","Proposed Sale",74,50000,3700000,"Dec 01 04:07 PM",2025-12-01,16:07:00
"CVRX","Sale",10.03,6337,63560,"Dec 01 04:07 PM",2025-12-01,16:07:00
"JNJ","Sale",10.03,6337,63560,"Dec 01 04:07 PM",2025-12-01,16:07:00
"RS","Proposed Sale",283.56,3066,869384,"Dec 01 04:07 PM",2025-12-01,16:07:00
"GDDY","Proposed Sale",127.03,475,60339,"Dec 01 04:06 PM",2025-12-01,16:06:00
"MANH","Sale",176.4,1600,282235,"Dec 01 04:06 PM",2025-12-01,16:06:00
"ARQT","Proposed Sale",30.23,1657,50091,"Dec 01 04:06 PM",2025-12-01,16:06:00
"ROKU","Proposed Sale",95.64,731,69913,"Dec 01 04:06 PM",2025-12-01,16:06:00
"ETSY","Proposed Sale",53.53,21666,1159780,"Dec 01 04:06 PM",2025-12-01,16:06:00
"WWD","Proposed Sale",299.39,5000,1496950,"Dec 01 04:06 PM",2025-12-01,16:06:00
"BURL","Proposed Sale",249.35,419,104478,"Dec 01 04:06 PM",2025-12-01,16:06:00
"META","Proposed Sale",639.03,517,330379,"Dec 01 04:06 PM",2025-12-01,16:06:00
"MPWR","Proposed Sale",908.21,3000,2724621,"Dec 01 04:06 PM",2025-12-01,16:06:00
"ISRG","Proposed Sale",568.99,125,71124,"Dec 01 04:05 PM",2025-12-01,16:05:00
"HIG","Sale",137.9,6731,928205,"Dec 01 04:05 PM",2025-12-01,16:05:00
"JBGS","Sale",17.9,4485,80286,"Dec 01 04:05 PM",2025-12-01,16:05:00
"MAX","Proposed Sale",12.6,24000,302412,"Dec 01 04:05 PM",2025-12-01,16:05:00
"SITE","Sale",134.83,1915,258199,"Dec 01 04:05 PM",2025-12-01,16:05:00
"WMS","Sale",155,1500,232500,"Dec 01 04:05 PM",2025-12-01,16:05:00
"EBC","Sale",19.03,322771,6142332,"Dec 01 04:05 PM",2025-12-01,16:05:00
"INCY","Proposed Sale",102.96,2559,263482,"Dec 01 04:05 PM",2025-12-01,16:05:00
"APO","Proposed Sale",131.41,6000,788434,"Dec 01 04:05 PM",2025-12-01,16:05:00
"AMLX","Proposed Sale",14.35,6580,94419,"Dec 01 04:05 PM",2025-12-01,16:05:00
"EGAN","Proposed Sale",10.07,5000,50350,"Dec 01 04:04 PM",2025-12-01,16:04:00
"NDAQ","Proposed Sale",90.57,4633,419611,"Dec 01 04:04 PM",2025-12-01,16:04:00
"LVS","Proposed Sale",69.96,210305,14713638,"Dec 01 04:04 PM",2025-12-01,16:04:00
"CDNS","Proposed Sale",312.64,1000,312640,"Dec 01 04:04 PM",2025-12-01,16:04:00
"NET","Proposed Sale",197.65,134,26485,"Dec 01 04:03 PM",2025-12-01,16:03:00
"EPR","Proposed Sale",51.95,7500,389625,"Dec 01 04:03 PM",2025-12-01,16:03:00
"MAX","Proposed Sale",12.61,36300,457576,"Dec 01 04:03 PM",2025-12-01,16:03:00
"FFIV","Proposed Sale",236.99,1300,308087,"Dec 01 04:03 PM",2025-12-01,16:03:00
"FFIV","Proposed Sale",236.99,1110,263059,"Dec 01 04:03 PM",2025-12-01,16:03:00
"NDAQ","Proposed Sale",90.57,2105,190650,"Dec 01 04:03 PM",2025-12-01,16:03:00
