"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"CBAN","Buy","16.95","500","8,475","Dec 03 04:20 PM",2025-12-03,16:20:00
"UFI","Buy","3.48","18,344","63,837","Dec 03 04:19 PM",2025-12-03,16:19:00
"UFI","Buy","3.53","3,644","12,863","Dec 03 04:19 PM",2025-12-03,16:19:00
"MMLP","Buy","2.59","2,239","5,801","Dec 03 04:19 PM",2025-12-03,16:19:00
"PFLT","Buy","9.10","5,500","50,044","Dec 03 04:16 PM",2025-12-03,16:16:00
"UTI","Buy","23.79","241,087","5,735,464","Dec 03 04:15 PM",2025-12-03,16:15:00
"UTI","Buy","24.40","467,020","11,395,288","Dec 03 04:15 PM",2025-12-03,16:15:00
"ICCC","Buy","4.87","3,708","18,053","Dec 03 04:14 PM",2025-12-03,16:14:00
"ICCC","Buy","5.02","6,077","30,536","Dec 03 04:14 PM",2025-12-03,16:14:00
"PNNT","Buy","5.91","4,235","25,016","Dec 03 04:11 PM",2025-12-03,16:11:00
"ZONE","Buy","0.30","18,750","5,595","Dec 03 04:09 PM",2025-12-03,16:09:00
"FSCO","Buy","6.06","1,620","9,810","Dec 03 04:01 PM",2025-12-03,16:01:00
"RCG","Buy","2.55","360","918","Dec 03 03:20 PM",2025-12-03,15:20:00
"RCG","Buy","2.55","774","1,974","Dec 03 03:20 PM",2025-12-03,15:20:00
"SRBK","Buy","15.79","1,000","15,792","Dec 03 01:06 PM",2025-12-03,13:06:00
"AUBN","Buy","24.17","25","604","Dec 03 12:56 PM",2025-12-03,12:56:00
"TSI","Buy","4.93","8,422","41,520","Dec 03 12:39 PM",2025-12-03,12:39:00
"TSI","Buy","4.91","4","20","Dec 03 12:39 PM",2025-12-03,12:39:00
"TSI","Buy","4.92","4,174","20,556","Dec 03 12:39 PM",2025-12-03,12:39:00
"TSI","Buy","4.93","7,900","38,942","Dec 03 12:39 PM",2025-12-03,12:39:00
"RGCO","Buy","22.27","13","300","Dec 03 12:03 PM",2025-12-03,12:03:00
"RGCO","Buy","22.27","7","150","Dec 03 12:02 PM",2025-12-03,12:02:00
"RGCO","Buy","22.27","29","645","Dec 03 12:01 PM",2025-12-03,12:01:00
"TPVG","Buy","6.40","50,000","319,910","Dec 03 11:42 AM",2025-12-03,11:42:00
"TPVG","Buy","6.37","50,000","318,550","Dec 03 11:42 AM",2025-12-03,11:42:00
"TPVG","Buy","6.40","50,000","319,910","Dec 03 11:41 AM",2025-12-03,11:41:00
"TPVG","Buy","6.37","50,000","318,550","Dec 03 11:41 AM",2025-12-03,11:41:00
"AVBC","Buy","16.00","6,230","99,671","Dec 03 11:27 AM",2025-12-03,11:27:00
"TPL","Buy","869.18","1","869","Dec 03 10:42 AM",2025-12-03,10:42:00
"ATLO","Buy","21.68","20","434","Dec 03 10:09 AM",2025-12-03,10:09:00
"NRDY","Buy","1.32","189,000","249,480","Dec 03 10:04 AM",2025-12-03,10:04:00
"DGICA","Buy","20.20","15,000","303,075","Dec 03 09:57 AM",2025-12-03,09:57:00
"DGICA","Buy","19.95","15,000","299,184","Dec 03 09:57 AM",2025-12-03,09:57:00
"DBX","Proposed Sale","29.71","9,167","272,352","Dec 03 04:28 PM",2025-12-03,16:28:00
"CRNX","Sale","45.02","5,000","225,100","Dec 03 04:28 PM",2025-12-03,16:28:00
"TAP","Proposed Sale","46.60","10,000","466,000","Dec 03 04:28 PM",2025-12-03,16:28:00
"MEDP","Sale","593.25","23,178","13,750,348","Dec 03 04:28 PM",2025-12-03,16:28:00
"MEDP","Sale","590.47","5,698","3,364,498","Dec 03 04:28 PM",2025-12-03,16:28:00
"DDOG","Proposed Sale","156.48","8,023","1,255,439","Dec 03 04:28 PM",2025-12-03,16:28:00
"NTAP","Sale","110.04","33","3,631","Dec 03 04:26 PM",2025-12-03,16:26:00
"LOCL","Proposed Sale","2.38","1,000","2,380","Dec 03 04:26 PM",2025-12-03,16:26:00
"MHK","Proposed Sale","115.11","500","57,556","Dec 03 04:26 PM",2025-12-03,16:26:00
"SONO","Proposed Sale","18.89","156,842","2,962,116","Dec 03 04:26 PM",2025-12-03,16:26:00
"EVC","Proposed Sale","2.74","14,405","39,509","Dec 03 04:25 PM",2025-12-03,16:25:00
"RIG","Proposed Sale","4.48","35,000","156,810","Dec 03 04:24 PM",2025-12-03,16:24:00
"SNCY","Proposed Sale","14.17","43,620","618,304","Dec 03 04:24 PM",2025-12-03,16:24:00
"BR","Proposed Sale","229.26","10,214","2,341,618","Dec 03 04:23 PM",2025-12-03,16:23:00
"FLS","Sale","70.48","212,683","14,989,332","Dec 03 04:23 PM",2025-12-03,16:23:00
"CRM","Sale","234.70","134,662","31,605,031","Dec 03 04:23 PM",2025-12-03,16:23:00
"HOOD","Proposed Sale","132.21","110,000","14,543,375","Dec 03 04:22 PM",2025-12-03,16:22:00
"UCTT","Proposed Sale","26.63","23,500","625,746","Dec 03 04:21 PM",2025-12-03,16:21:00
"WBD","Sale","23.74","5,000","118,700","Dec 03 04:21 PM",2025-12-03,16:21:00
"WBD","Sale","24.25","5,000","121,250","Dec 03 04:21 PM",2025-12-03,16:21:00
"WBD","Sale","24.18","5,000","120,900","Dec 03 04:21 PM",2025-12-03,16:21:00
"RMD","Proposed Sale","251.43","2,000","502,860","Dec 03 04:20 PM",2025-12-03,16:20:00
"OSW","Proposed Sale","20.19","20,000","403,800","Dec 03 04:20 PM",2025-12-03,16:20:00
"TBPH","Proposed Sale","18.75","31,067","582,500","Dec 03 04:19 PM",2025-12-03,16:19:00
"SGHT","Sale","8.25","2,518","20,774","Dec 03 04:19 PM",2025-12-03,16:19:00
"WGS","Sale","162.54","377","61,276","Dec 03 04:18 PM",2025-12-03,16:18:00
